iter	Passed	Remaining
413	3514	4973
414	3523	4966
415	3532	4958
416	3540	4950
417	3550	4942
418	3558	4934
419	3567	4927
420	3576	4919
421	3585	4910
422	3594	4903
423	3603	4894
424	3612	4887
425	3622	4880
426	3631	4872
427	3640	4865
428	3649	4857
429	3658	4849
430	3668	4842
431	3676	4834
432	3685	4826
433	3695	4819
434	3703	4810
435	3712	4802
436	3722	4796
437	3731	4788
438	3740	4780
439	3749	4772
440	3757	4763
441	3766	4754
442	3774	4745
443	3784	4738
444	3792	4729
445	3801	4721
446	3810	4714
447	3819	4705
448	3827	4697
449	3835	4688
450	3844	4680
451	3852	4671
452	3861	4662
453	3870	4654
454	3879	4646
455	3888	4638
456	3896	4629
457	3905	4622
458	3914	4613
459	3924	4607
460	3934	4600
461	3942	4591
462	3951	4583
463	3961	4575
464	3970	4567
465	3979	4560
466	3988	4552
467	3997	4544
468	4006	4535
469	4016	4528
470	4025	4521
471	4034	4513
472	4043	4505
473	4052	4496
474	4061	4488
475	4069	4480
476	4078	4471
477	4087	4463
478	4096	4455
479	4105	4447
480	4114	4439
481	4124	4432
482	4133	4424
483	4142	4416
484	4151	4408
485	4160	4399
486	4168	4390
487	4176	4382
488	4184	4373
489	4193	4364
490	4201	4355
491	4210	4347
492	4219	4339
493	4228	4331
494	4237	4323
495	4246	4315
496	4255	4307
497	4264	4298
498	4274	4291
499	4282	4282
500	4291	4274
501	4300	4266
502	4310	4258
503	4319	4251
504	4330	4244
505	4344	4241
506	4354	4233
507	4363	4226
508	4373	4219
509	4383	4211
510	4392	4203
511	4401	4195
512	4411	4187
513	4420	4179
514	4430	4172
515	4439	4163
516	4447	4155
517	4455	4146
518	4464	4137
519	4472	4128
520	4481	4120
521	4490	4111
522	4498	4103
523	4507	4094
524	4516	4086
525	4525	4078
526	4535	4070
527	4544	4062
528	4554	4054
529	4562	4046
530	4570	4037
531	4580	4029
532	4588	4020
533	4597	4012
534	4607	4004
535	4616	3996
536	4625	3987
537	4634	3979
538	4643	3971
539	4652	3962
540	4660	3954
541	4669	3946
542	4678	3937
543	4688	3929
544	4697	3921
545	4705	3913
546	4726	3914
547	4736	3906
548	4745	3898
549	4755	3890
550	4764	3882
551	4772	3873
552	4780	3864
553	4789	3855
554	4798	3847
555	4806	3838
556	4815	3829
557	4823	3821
558	4834	3813
559	4843	3805
560	4852	3797
561	4861	3788
562	4870	3780
563	4878	3771
564	4887	3762
565	4896	3754
566	4904	3745
567	4914	3737
568	4922	3728
569	4932	3720
570	4940	3712
571	4949	3703
572	4958	3695
573	4967	3686
574	4976	3678
575	4985	3669
576	4994	3661
577	5003	3652
578	5012	3644
579	5021	3636
580	5030	3628
581	5040	3620
582	5049	3611
583	5057	3602
584	5066	3594
585	5075	3585
586	5083	3576
587	5092	3568
588	5101	3559
589	5110	3551
590	5119	3543
591	5129	3534
592	5137	3526
593	5146	3517
594	5155	3509
595	5165	3501
596	5175	3493
597	5184	3485
598	5193	3476
599	5202	3468
600	5211	3460
601	5220	3451
602	5230	3443
603	5239	3434
604	5247	3426
605	5257	3418
606	5265	3409
607	5274	3400
608	5283	3392
609	5292	3383
610	5302	3376
611	5313	3368
612	5323	3360
613	5333	3352
614	5343	3344
615	5352	3336
616	5363	3329
617	5374	3322
618	5383	3313
619	5392	3305
620	5404	3298
621	5415	3291
622	5426	3283
623	5437	3276
624	5447	3268
625	5457	3260
626	5467	3252
627	5478	3244
628	5488	3237
629	5498	3229
630	5508	3221
631	5517	3212
632	5527	3204
633	5537	3196
634	5547	3188
635	5556	3180
636	5566	3172
637	5576	3164
638	5592	3159
639	5605	3152
640	5614	3144
641	5625	3136
642	5634	3128
643	5645	3120
644	5654	3111
645	5664	3103
646	5673	3095
647	5683	3087
648	5693	3079
649	5702	3070
650	5712	3062
651	5721	3053
652	5730	3045
653	5740	3036
654	5750	3028
655	5761	3021
656	5770	3012
657	5781	3004
658	5792	2997
659	5803	2989
660	5814	2982
661	5823	2973
662	5833	2965
663	5842	2956
664	5851	2947
665	5859	2938
666	5868	2929
667	5877	2921
668	5885	2911
669	5894	2903
670	5903	2894
671	5911	2885
672	5920	2876
673	5929	2868
674	5938	2859
675	5946	2850
676	5957	2842
677	5967	2834
678	5977	2825
679	5987	2817
680	5998	2809
681	6007	2801
682	6017	2792
683	6026	2784
684	6034	2775
685	6043	2766
686	6052	2757
687	6060	2748
688	6069	2739
689	6077	2730
690	6086	2721
691	6095	2712
692	6103	2703
693	6113	2695
694	6122	2686
695	6132	2678
696	6142	2670
697	6150	2661
698	6160	2652
699	6169	2644
700	6178	2635
701	6188	2626
702	6199	2619
703	6208	2610
704	6216	2601
705	6225	2592
706	6234	2583
707	6242	2574
708	6252	2566
709	6260	2557
710	6270	2548
711	6278	2539
712	6287	2530
713	6296	2522
714	6305	2513
715	6314	2504
716	6322	2495
717	6331	2486
718	6339	2477
719	6349	2469
720	6358	2460
721	6367	2451
722	6376	2442
723	6385	2434
724	6395	2425
725	6404	2417
726	6416	2409
727	6426	2401
728	6435	2392
729	6444	2383
730	6452	2374
731	6461	2365
732	6470	2356
733	6478	2347
734	6487	2339
735	6496	2330
736	6504	2321
737	6512	2312
738	6520	2302
739	6529	2294
740	6537	2284
741	6545	2275
742	6553	2266
743	6562	2257
744	6571	2249
745	6580	2240
746	6588	2231
747	6598	2222
748	6607	2214
749	6617	2205
750	6627	2197
751	6636	2188
752	6650	2181
753	6666	2174
754	6678	2167
755	6688	2158
756	6698	2150
757	6709	2142
758	6721	2134
759	6732	2125
760	6743	2117
761	6754	2109
762	6763	2100
763	6774	2092
764	6785	2084
765	6795	2075
766	6805	2067
767	6814	2058
768	6824	2049
769	6837	2042
770	6847	2033
771	6856	2024
772	6865	2016
773	6875	2007
774	6884	1998
775	6894	1990
776	6904	1981
777	6913	1972
778	6923	1964
779	6932	1955
780	6940	1946
781	6949	1937
782	6959	1928
783	6969	1920
784	6979	1911
785	6990	1903
786	7001	1894
787	7012	1886
788	7022	1878
789	7034	1870
790	7047	1862
791	7058	1853
792	7070	1845
793	7081	1837
794	7109	1833
795	7124	1825
796	7135	1817
797	7145	1808
798	7156	1800
799	7167	1791
800	7177	1783
801	7189	1774
802	7199	1766
803	7209	1757
804	7220	1749
805	7231	1740
806	7241	1731
807	7252	1723
808	7262	1714
809	7273	1706
810	7283	1697
811	7292	1688
812	7302	1679
813	7311	1670
814	7321	1661
815	7330	1652
816	7340	1644
817	7348	1635
818	7357	1626
819	7369	1617
820	7378	1608
821	7388	1600
822	7398	1591
823	7409	1582
824	7420	1573
825	7430	1565
826	7440	1556
827	7452	1548
828	7465	1539
829	7476	1531
830	7485	1522
831	7497	1513
832	7506	1504
833	7517	1496
834	7527	1487
835	7537	1478
836	7546	1469
837	7556	1460
838	7565	1451
839	7575	1443
840	7586	1434
841	7599	1425
842	7609	1417
843	7622	1408
844	7632	1400
845	7642	1391
846	7653	1382
847	7664	1373
848	7674	1364
849	7683	1355
850	7693	1347
851	7703	1338
852	7712	1329
853	7722	1320
854	7732	1311
855	7740	1302
856	7750	1293
857	7759	1284
858	7767	1275
859	7777	1266
860	7786	1257
861	7795	1248
862	7805	1239
863	7814	1230
864	7823	1221
865	7833	1212
866	7842	1203
867	7856	1194
868	7868	1186
869	7878	1177
870	7887	1168
871	7898	1159
872	7907	1150
873	7916	1141
874	7926	1132
875	7936	1123
876	7946	1114
877	7955	1105
878	7965	1096
879	7975	1087
880	7984	1078
881	7994	1069
882	8003	1060
883	8013	1051
884	8023	1042
885	8032	1033
886	8042	1024
887	8053	1015
888	8063	1006
889	8073	997
890	8083	988
891	8093	979
892	8103	970
893	8113	961
894	8122	952
895	8131	943
896	8140	934
897	8149	925
898	8159	916
899	8168	907
900	8177	898
901	8186	889
902	8195	880
903	8204	871
904	8212	862
905	8221	853
906	8230	843
907	8239	834
908	8249	825
909	8260	816
910	8270	807
911	8278	798
912	8288	789
913	8297	780
914	8306	771
915	8315	762
916	8324	753
917	8332	744
918	8341	735
919	8349	726
920	8357	716
921	8366	707
922	8374	698
923	8383	689
924	8391	680
925	8400	671
926	8409	662
927	8417	653
928	8426	643
929	8434	634
930	8443	625
931	8451	616
932	8461	607
933	8472	598
934	8481	589
935	8489	580
936	8497	571
937	8506	562
938	8515	553
939	8524	544
940	8532	535
941	8541	525
942	8549	516
943	8558	507
944	8566	498
945	8574	489
946	8582	480
947	8590	471
948	8599	462
949	8608	453
950	8616	443
951	8624	434
952	8632	425
953	8641	416
954	8648	407
955	8657	398
956	8665	389
957	8673	380
958	8683	371
959	8691	362
960	8699	353
961	8708	343
962	8716	334
963	8725	325
964	8733	316
965	8741	307
966	8750	298
967	8758	289
968	8766	280
969	8774	271
970	8782	262
971	8790	253
972	8799	244
973	8808	235
974	8816	226
975	8825	217
976	8834	207
977	8843	198
978	8851	189
979	8859	180
980	8867	171
981	8876	162
982	8889	153
983	8908	144
984	8916	135
985	8925	126
986	8934	117
987	8942	108
988	8950	99
989	8958	90
990	8967	81
991	8975	72
992	8984	63
993	8992	54
994	9000	45
995	9008	36
996	9016	27
997	9024	18
998	9033	9
999	9041	0
