iter	Logloss
0	0.6842332871
1	0.676395578
2	0.6687159212
3	0.662298806
4	0.6561438035
5	0.65048012
6	0.6455160803
7	0.6408729533
8	0.6364484583
9	0.6326519459
10	0.6288916374
11	0.6253395778
12	0.6220123967
13	0.6189837706
14	0.6161129875
15	0.613505753
16	0.6107476649
17	0.608645934
18	0.6063903366
19	0.6045648357
20	0.602635215
21	0.6010024438
22	0.5995232166
23	0.5981081889
24	0.5967397529
25	0.5956718647
26	0.5944840481
27	0.5932152656
28	0.592275402
29	0.5912183813
30	0.5903933855
31	0.5895588411
32	0.5885375131
33	0.5877601447
34	0.5871432389
35	0.5864548915
36	0.5858607845
37	0.5853984785
38	0.5847587417
39	0.5842630213
40	0.5835464236
41	0.5829287496
42	0.5824952555
43	0.5820395835
44	0.5815070152
45	0.5808080691
46	0.5803556724
47	0.5799466315
48	0.5795768928
49	0.5792212182
50	0.5787753553
51	0.5784027422
52	0.5780016456
53	0.5776571677
54	0.5773076009
55	0.5770003897
56	0.5764565338
57	0.576157457
58	0.5758834196
59	0.5756016115
60	0.5752183958
61	0.5749495454
62	0.5747195234
63	0.5744425994
64	0.5742571105
65	0.5740048233
66	0.5737406234
67	0.5734166685
68	0.5730904563
69	0.5729250646
70	0.5726139843
71	0.5723416726
72	0.5721098027
73	0.5717946077
74	0.571550293
75	0.5714220286
76	0.5711403374
77	0.5709496042
78	0.5707416167
79	0.5705623188
80	0.5703256599
81	0.5700426769
82	0.569850537
83	0.569669835
84	0.5694750892
85	0.5692644755
86	0.5690608793
87	0.5689198992
88	0.5687693635
89	0.5686149078
90	0.568398058
91	0.5682478633
92	0.5680751077
93	0.5679351969
94	0.5678071901
95	0.5676850257
96	0.5674384779
97	0.5672093649
98	0.5669937505
99	0.5668198587
100	0.5666681856
101	0.5664975912
102	0.5663558233
103	0.5661887231
104	0.5660504832
105	0.5658509582
106	0.5656665903
107	0.5655107297
108	0.5653569629
109	0.5652247535
110	0.5650643319
111	0.5648728976
112	0.5646934942
113	0.5645853809
114	0.5643582454
115	0.5641709817
116	0.5640616818
117	0.5638484952
118	0.5636934549
119	0.5634859719
120	0.5633925629
121	0.5632687767
122	0.5631053434
123	0.5629761858
124	0.5627777472
125	0.5626222389
126	0.5624805387
127	0.5623769207
128	0.5622555949
129	0.5621095788
130	0.561952319
131	0.5618633149
132	0.5617508785
133	0.5616123979
134	0.5614526499
135	0.5612839088
136	0.5611081611
137	0.5609757391
138	0.5609115176
139	0.5607910078
140	0.5606632348
141	0.5605164963
142	0.5603686862
143	0.5602571719
144	0.5601386291
145	0.560009534
146	0.5598660473
147	0.5597349894
148	0.5595840298
149	0.5594417187
150	0.5593114474
151	0.5592366607
152	0.559147284
153	0.5590271796
154	0.5588706681
155	0.5587603066
156	0.5585989245
157	0.5585108925
158	0.5583904285
159	0.5582533179
160	0.5581331301
161	0.5579758707
162	0.5578480428
163	0.5576995697
164	0.5575311621
165	0.5574024534
166	0.557298106
167	0.5571590314
168	0.5570226475
169	0.5568619481
170	0.5567771931
171	0.556634638
172	0.556492357
173	0.5563634603
174	0.556211704
175	0.5561076216
176	0.5560284928
177	0.5559104115
178	0.5557870511
