iter	Logloss
0	0.6449107136
1	0.6041272902
2	0.5686154284
3	0.5385805004
4	0.5130054731
5	0.4909534509
6	0.4716448502
7	0.4538977479
8	0.4394123706
9	0.42619717
10	0.4148770774
11	0.4054532943
12	0.3966675882
13	0.3890191287
14	0.3821611054
15	0.3758814915
16	0.3709954775
17	0.3662733335
18	0.3621473627
19	0.3582516946
20	0.3543594873
21	0.3514620208
22	0.3482883944
23	0.346007341
24	0.3437451387
25	0.3416747087
26	0.3394768371
27	0.3380505168
28	0.3363129699
29	0.3350195728
30	0.3336930354
31	0.3325559613
32	0.3311809359
33	0.3300867073
34	0.3290775586
35	0.3279914822
36	0.3270675904
37	0.3262455909
38	0.3255394114
39	0.3247381034
40	0.3242154798
41	0.3235819025
42	0.3229755549
43	0.3224002615
44	0.3218963798
45	0.3214213155
46	0.3209911477
47	0.3204460846
48	0.3200245806
49	0.3195946318
50	0.3192640045
51	0.3189648248
52	0.3186225619
53	0.31828834
54	0.3179762896
55	0.3176797851
56	0.3174192773
57	0.3171760547
58	0.316931569
59	0.3166989407
60	0.3165013055
61	0.3162944884
62	0.3160793364
63	0.315790442
64	0.3156304374
65	0.3154373642
66	0.3152634304
67	0.3150804687
68	0.314878876
69	0.3146789066
70	0.3145365405
71	0.314420737
72	0.3142825727
73	0.314143329
74	0.3140472999
75	0.3139191572
76	0.3137802133
77	0.3136842362
78	0.3135202636
79	0.3134195423
80	0.3132770205
81	0.3131713229
82	0.3130565719
83	0.3129331746
84	0.3128318908
85	0.3127404669
86	0.3126614181
87	0.3125442332
88	0.3124857699
89	0.3123937604
90	0.3123144321
91	0.3122492128
92	0.3121821767
93	0.3120978623
94	0.3120347762
95	0.3119450694
96	0.3118843158
97	0.3118235368
98	0.3117472127
99	0.3116850173
100	0.311624621
101	0.3115480463
102	0.3114957707
103	0.3114197008
104	0.3113401522
105	0.3112832011
106	0.3112161412
107	0.3111450035
108	0.3110777847
109	0.3110190705
110	0.3109605304
111	0.3108926984
112	0.3108253326
113	0.3107734187
114	0.3107272299
115	0.3106836301
116	0.3106500107
117	0.3106003829
118	0.3105453354
119	0.3105107405
120	0.3104449158
121	0.3104117427
122	0.3103714462
123	0.3103415044
124	0.3103011597
125	0.3102608167
126	0.3102109038
127	0.3101508551
128	0.3100980652
129	0.3100568619
130	0.3100116688
131	0.3099605158
132	0.3098864792
133	0.3098423224
134	0.30979285
135	0.3097376576
136	0.3097065027
137	0.3096584813
138	0.3096172902
139	0.3095850283
140	0.3095364403
141	0.3095022851
142	0.309472452
143	0.3094261679
144	0.3093970114
145	0.3093608479
146	0.3093201642
147	0.3092813643
148	0.3092461778
149	0.3092215353
150	0.3091975808
151	0.309169144
152	0.3091294615
153	0.3090889212
154	0.3090583318
155	0.3090136563
156	0.3089813306
157	0.3089416911
158	0.3088987176
159	0.3088749277
160	0.3088366005
161	0.3088131419
162	0.3087811366
163	0.3087627675
164	0.308739298
165	0.3087071049
166	0.3086807892
167	0.3086511062
168	0.30861876
169	0.3085758228
170	0.3085383727
171	0.3085068432
172	0.3084794573
173	0.3084546012
174	0.3084178864
175	0.3084018011
176	0.3083781413
177	0.3083391011
178	0.3083089518
179	0.3082753058
180	0.3082499687
181	0.3082149377
182	0.3081801536
183	0.3081585899
184	0.3081280886
185	0.3081041988
186	0.3080747065
187	0.3080449403
188	0.3080168018
189	0.3079931551
190	0.3079640065
191	0.3079305052
192	0.3079097903
193	0.3078831859
194	0.3078556757
195	0.3078275522
196	0.3078028331
197	0.307768788
198	0.3077438913
199	0.307712199
200	0.3076907537
201	0.3076676399
202	0.3076448552
203	0.3076167485
204	0.3075910628
205	0.3075584492
206	0.3075348177
207	0.307510825
208	0.3074930821
209	0.3074673114
210	0.3074456991
211	0.3074174467
212	0.3073827216
213	0.3073641062
214	0.3073390523
215	0.30731354
216	0.3072906731
217	0.307258867
218	0.3072284124
219	0.3072072724
220	0.3071854119
221	0.3071544501
222	0.3071236007
223	0.3070950249
224	0.3070737765
225	0.3070558334
226	0.3070359797
227	0.3070134963
228	0.3069848962
229	0.3069593429
230	0.306936123
231	0.3069114015
232	0.3068864712
233	0.3068675418
234	0.3068460703
235	0.3068164528
236	0.3067824501
237	0.3067502716
238	0.306726652
239	0.3067075855
240	0.3066845215
241	0.3066691941
242	0.3066397345
243	0.3066164938
244	0.3065897875
245	0.3065621696
246	0.3065349298
247	0.3065028548
248	0.3064845574
249	0.3064555764
250	0.3064279502
251	0.3064000718
252	0.3063785881
253	0.3063641969
254	0.3063440598
255	0.3063231823
256	0.3063046025
257	0.3062836212
258	0.3062634975
259	0.3062345847
260	0.3062156144
261	0.306192986
262	0.3061656372
263	0.3061413099
264	0.30611918
265	0.3060906633
266	0.3060691565
267	0.3060421433
268	0.3060164273
269	0.3059959596
270	0.3059705497
271	0.3059485592
272	0.3059237225
273	0.3059023505
274	0.3058761324
275	0.3058543539
276	0.3058301762
277	0.305805982
278	0.3057751719
279	0.3057508613
280	0.3057300794
281	0.3057100866
282	0.3056926175
283	0.3056608875
284	0.3056359454
285	0.3056163656
286	0.3055893962
287	0.3055630272
288	0.305538392
289	0.3055236743
290	0.3054981959
291	0.3054646956
292	0.3054460259
293	0.305423739
294	0.3054016326
295	0.3053767477
296	0.3053576511
297	0.3053374471
298	0.3053212974
299	0.3052972549
